tmdb_id,title,overview,tagline,genres,release_year,original_language,vote_average,vote_count,runtime,director,cast_list,keywords,poster_path,production_countries,budget,revenue,soup,is_indie,created_at
1097870,Dear Santa,"Likeable 6th grader Liam writes to Santa asking him to prove that he's real. But Liam is dyslexic and accidentally sends his letter to Satan instead, who shows up at Liam's house, excited to have his first fanboy letter and wanting a little of Liam's soul.",Jack Black is NOT Santa.,"Comedy, Fantasy",2024.0,en,6.208,500,108,Bobby Farrelly,"Jack Black, Robert Timothy Smith, Keegan-Michael Key, Brianne Howey, Hayes MacArthur","holiday, santa claus, satan, duringcreditsstinger, letter to santa claus, christmas, dead son, pathetic, best friends, christmas wish, holiday comedy",/fRbDHbGBXg6kwQYr3CRYeKPJW5q.jpg,United States of America,0,0,"Comedy, Fantasy holiday, santa claus, satan, duringcreditsstinger, letter to santa claus, christmas, dead son, pathetic, best friends, christmas wish, holiday comedy Bobby Farrelly Jack Black, Robert Timothy Smith, Keegan-Michael Key, Brianne Howey, Hayes MacArthur Likeable 6th grader Liam writes to Santa asking him to prove that he's real. But Liam is dyslexic and accidentally sends his letter to Satan instead, who shows up at Liam's house, excited to have his first fanboy letter and wanting a little of Liam's soul. Jack Black is NOT Santa.",True,2026-06-19 07:40:18.049880+00:00
575322,Project Gemini,"After depleting Earth's resources for centuries, humankind's survival requires an exodus to outer space. An international expedition is quickly formed to find a suitable new planet, but when plans go awry, the crew is suddenly stranded without power on a strange planet, where something unimaginable lies in wait.",Love over space,"Science Fiction, Thriller",2022.0,en,5.684,500,98,Serik Beyseu,"Egor Koreshkov, Alyona Konstantinova, Konstantin Samoukov, Pyotr Romanov, Nikita Dyuvbanov","space, alien planet, universe, alien creature, spaceship, science fiction",/rFljUdOozFEv6HDHIFpFvcYW0ec.jpg,Russia,6000000,211674,"Science Fiction, Thriller space, alien planet, universe, alien creature, spaceship, science fiction Serik Beyseu Egor Koreshkov, Alyona Konstantinova, Konstantin Samoukov, Pyotr Romanov, Nikita Dyuvbanov After depleting Earth's resources for centuries, humankind's survival requires an exodus to outer space. An international expedition is quickly formed to find a suitable new planet, but when plans go awry, the crew is suddenly stranded without power on a strange planet, where something unimaginable lies in wait. Love over space",True,2026-06-19 07:40:18.690616+00:00
552532,Charm City Kings,"Mouse desperately wants to join The Midnight Clique, the infamous Baltimore dirt bike riders who rule the summertime streets. When Midnight’s leader, Blax, takes 14-year-old Mouse under his wing, Mouse soon finds himself torn between the straight-and-narrow and a road filled with fast money and violence.",Life happens at the crossroads.,Drama,2020.0,en,7.822,500,125,Ángel Manuel Soto,"Jahi Di'Allo Winston, Meek Mill, Teyonah Parris, William Catlett, Kezii Curtis",,/j732HPX0HSPcYvKURAIIS5Ppvk1.jpg,United States of America,0,0,"Drama Ángel Manuel Soto Jahi Di'Allo Winston, Meek Mill, Teyonah Parris, William Catlett, Kezii Curtis Mouse desperately wants to join The Midnight Clique, the infamous Baltimore dirt bike riders who rule the summertime streets. When Midnight’s leader, Blax, takes 14-year-old Mouse under his wing, Mouse soon finds himself torn between the straight-and-narrow and a road filled with fast money and violence. Life happens at the crossroads.",True,2026-06-19 07:40:19.317204+00:00
60309,The Conspirator,"Mary Surratt is the lone female charged as a co-conspirator in the assassination trial of Abraham Lincoln. As the whole nation turns against her, she is forced to rely on her reluctant lawyer to uncover the truth and save her life.",One bullet killed the President. But not one man.,"Crime, Drama, History",2011.0,en,6.565,500,122,Robert Redford,"James McAvoy, Robin Wright, Evan Rachel Wood, Kevin Kline, Alexis Bledel","trial, president, conspiracy, lawyer, boarding house, military tribunal, historical, union, private club",/a2ubkGUjGYeKRN1C2Tib0rmjuWf.jpg,United States of America,25000000,15478800,"Crime, Drama, History trial, president, conspiracy, lawyer, boarding house, military tribunal, historical, union, private club Robert Redford James McAvoy, Robin Wright, Evan Rachel Wood, Kevin Kline, Alexis Bledel Mary Surratt is the lone female charged as a co-conspirator in the assassination trial of Abraham Lincoln. As the whole nation turns against her, she is forced to rely on her reluctant lawyer to uncover the truth and save her life. One bullet killed the President. But not one man.",True,2026-06-19 07:40:19.975928+00:00
14748,Boy A,"Freed after a lengthy term in a juvenile detention center, convicted child killer Jack Burridge finds work as a deliveryman and begins dating co-worker Michelle. While out on the road one day, Jack notices a distressed child, and, after reuniting the girl with her family, becomes a local celebrity. But when a local newspaper unearths his past, Jack must cope with the anger of citizens who fear for the safety of their children.",Who decides who gets a second chance?,"Crime, Drama",2008.0,en,7.125,500,106,John Crowley,"Andrew Garfield, Katie Lyons, Peter Mullan, Shaun Evans, Siobhan Finneran","child abuse, rape, based on novel or book, parent child relationship, rehabilitation, grave, melancholy, based on true story, coming of age, criminal, incest, childhood, haunted by the past, hard, moral dilemma",/wrQQUjeiHFPvTfaaB3vtNLLZ8kv.jpg,United Kingdom,0,1200398,"Crime, Drama child abuse, rape, based on novel or book, parent child relationship, rehabilitation, grave, melancholy, based on true story, coming of age, criminal, incest, childhood, haunted by the past, hard, moral dilemma John Crowley Andrew Garfield, Katie Lyons, Peter Mullan, Shaun Evans, Siobhan Finneran Freed after a lengthy term in a juvenile detention center, convicted child killer Jack Burridge finds work as a deliveryman and begins dating co-worker Michelle. While out on the road one day, Jack notices a distressed child, and, after reuniting the girl with her family, becomes a local celebrity. But when a local newspaper unearths his past, Jack must cope with the anger of citizens who fear for the safety of their children. Who decides who gets a second chance?",True,2026-06-19 07:40:20.622939+00:00
12657,Soul Plane,"Following a ridiculously awful flight that leads to his pet's death, Nashawn Wade files a lawsuit against the airline, and wins a multimillion-dollar settlement. Determined to create a better flying experience, Nashawn starts his own airline, one that caters to an African-American clientele. Going into business with a tricked-out plane piloted by the smooth Capt. Mack, the airline hits a snag when it has to deal with the family of Elvis Hunkee.",Announcing the arrival of the first airline with soul.,Comedy,2004.0,en,5.473,500,86,Jessy Terrero,"Kevin Hart, Tom Arnold, Method Man, Snoop Dogg, K.D. Aubert","hip-hop, airplane, chaos, stewardess, nightclub, champagne, lawsuit, crude humor, airport security, flight attendant",/b5Rzb5JUwPinllWGYUYER3OV14F.jpg,United States of America,16000000,14800000,"Comedy hip-hop, airplane, chaos, stewardess, nightclub, champagne, lawsuit, crude humor, airport security, flight attendant Jessy Terrero Kevin Hart, Tom Arnold, Method Man, Snoop Dogg, K.D. Aubert Following a ridiculously awful flight that leads to his pet's death, Nashawn Wade files a lawsuit against the airline, and wins a multimillion-dollar settlement. Determined to create a better flying experience, Nashawn starts his own airline, one that caters to an African-American clientele. Going into business with a tricked-out plane piloted by the smooth Capt. Mack, the airline hits a snag when it has to deal with the family of Elvis Hunkee. Announcing the arrival of the first airline with soul.",True,2026-06-19 07:40:21.301007+00:00
11773,Village of the Damned,"In a small English village everyone suddenly falls unconscious. When they awake every woman of child bearing age is pregnant. The resulting children have the same strange blond hair, eyes and a strong connection to each other.",What Demonic Force Lurks Behind Those Eyes?,"Horror, Science Fiction",1960.0,en,7.181,500,77,Wolf Rilla,"George Sanders, Barbara Shelley, Martin Stephens, Michael Gwynn, Laurence Naismith","suicide, based on novel or book, england, parent child relationship, pregnancy, village, youngster, parish, car crash, mind reading, black and white, explosion, military, evil child, forced suicide",/qcpXud1UjQzlSe9A062w8Wqgira.jpg,"United Kingdom, United States of America",200000,2175000,"Horror, Science Fiction suicide, based on novel or book, england, parent child relationship, pregnancy, village, youngster, parish, car crash, mind reading, black and white, explosion, military, evil child, forced suicide Wolf Rilla George Sanders, Barbara Shelley, Martin Stephens, Michael Gwynn, Laurence Naismith In a small English village everyone suddenly falls unconscious. When they awake every woman of child bearing age is pregnant. The resulting children have the same strange blond hair, eyes and a strong connection to each other. What Demonic Force Lurks Behind Those Eyes?",True,2026-06-19 07:40:21.973294+00:00
9873,F/X,"A movies special effects man is hired by a government agency to help stage the assassination of a well known gangster. When the agency double cross him, he uses his special effects to trap the gangster and the corrupt agents.",Murder by illusion.,"Action, Thriller",1986.0,en,6.575,500,109,Robert Mandel,"Bryan Brown, Brian Dennehy, Diane Venora, Cliff DeYoung, Mason Adams","new york city, assassin, showdown, corruption, police, detective, fbi, mission of murder, witness protection, stuntman, mafia boss, deception, special effects, gunfight, disguise",/dxqWgIQkwFVCSkB64EjD3fc1lwG.jpg,United States of America,10000000,20603715,"Action, Thriller new york city, assassin, showdown, corruption, police, detective, fbi, mission of murder, witness protection, stuntman, mafia boss, deception, special effects, gunfight, disguise Robert Mandel Bryan Brown, Brian Dennehy, Diane Venora, Cliff DeYoung, Mason Adams A movies special effects man is hired by a government agency to help stage the assassination of a well known gangster. When the agency double cross him, he uses his special effects to trap the gangster and the corrupt agents. Murder by illusion.",True,2026-06-19 07:40:22.638994+00:00
615952,Armageddon Time,"In 1980, Queens, New York, a young Jewish boy befriends a rebellious African-American classmate to the disapproval of his privileged family and begins to reckon with growing up in a world of inequality and prejudice.",The end of an era. The beginning of everything.,Drama,2022.0,en,6.437,499,114,James Gray,"Banks Repeta, Anne Hathaway, Jeremy Strong, Jaylin Webb, Anthony Hopkins","school friend, grandparent grandchild relationship, grandfather, arrest, ronald reagan, stealing, pta, semi autobiographical, 1980s, school board, jimmy carter",/wMK717aDWhboXOiVbZ9sLBqLmKh.jpg,"United States of America, Brazil",15000000,6524886,"Drama school friend, grandparent grandchild relationship, grandfather, arrest, ronald reagan, stealing, pta, semi autobiographical, 1980s, school board, jimmy carter James Gray Banks Repeta, Anne Hathaway, Jeremy Strong, Jaylin Webb, Anthony Hopkins In 1980, Queens, New York, a young Jewish boy befriends a rebellious African-American classmate to the disapproval of his privileged family and begins to reckon with growing up in a world of inequality and prejudice. The end of an era. The beginning of everything.",True,2026-06-19 07:40:23.311359+00:00
599845,The Immortal,"After reuniting with his first mentor Bruno and receiving his latest mission, an exiled Ciro is left to fearlessly confront whatever comes his way, navigating a new chapter of gang warfare while grappling with devastating memories of loss and trauma. Weaving between his past as an orphan in Naples' cruel underworld and present as a hardened, cunning assassin with nothing left to lose, Ciro is plunged into the cold, dark depths of a world where immortality is just another form of damnation.",,"Crime, Drama, Thriller",2019.0,it,6.625,499,115,Marco D'Amore,"Marco D'Amore, Giuseppe Aiello, Salvatore D'Onofrio, Giovanni Vastarella, Marianna Robustelli","naples, italy, organized crime, street crime, gomorra",/kWLsOI2CPpdCBiAxpAXPdoE9435.jpg,"Italy, Germany, United Kingdom",0,0,"Crime, Drama, Thriller naples, italy, organized crime, street crime, gomorra Marco D'Amore Marco D'Amore, Giuseppe Aiello, Salvatore D'Onofrio, Giovanni Vastarella, Marianna Robustelli After reuniting with his first mentor Bruno and receiving his latest mission, an exiled Ciro is left to fearlessly confront whatever comes his way, navigating a new chapter of gang warfare while grappling with devastating memories of loss and trauma. Weaving between his past as an orphan in Naples' cruel underworld and present as a hardened, cunning assassin with nothing left to lose, Ciro is plunged into the cold, dark depths of a world where immortality is just another form of damnation.",True,2026-06-19 07:40:24.053756+00:00
